Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Camila,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,N/A,1,N/A
2,Lenin,placed,N/A,N/A,"(1, 1)",5,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Lenin,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
4,Camila,placed,N/A,N/A,"(0, 0)",0,1,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,Camila,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,N/A,1,N/A
6,Lenin,placed,N/A,N/A,"(2, 2)",10,1,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
7,Lenin,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,N/A,1,N/A
8,Camila,placed,N/A,N/A,"(3, 1)",13,1,1000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
9,Camila,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,N/A,1,N/A
10,Lenin,placed,N/A,N/A,"(2, 0)",8,1,1000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000
11,Lenin,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
12,Camila,placed,N/A,N/A,"(0, 2)",2,1,1000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000
13,Camila,selected,"LITTLE, WHITE, CIRCLE, WITH_HOLE",5,N/A,N/A,1,N/A
14,Lenin,placed,N/A,N/A,"(1, 3)",7,1,1000000000000000000000000000000000000000000000000000000000000100001000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000
15,Lenin,selected,"TALL, WHITE, CIRCLE, WITH_HOLE",13,N/A,N/A,1,N/A
16,Camila,placed,N/A,N/A,"(0, 1)",1,1,1000000000000000000000000000000000000000000000000000000000000100001000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000000000010000000000000000000000100000000000000000000000
17,Camila,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
18,Lenin,placed,N/A,N/A,"(0, 3)",3,1,1000000000000000000000000000000000000000000000000000000000000100001000000000000000000001000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000001000000000000000000000010000000000000000000000100000000000000000000000

Ganador,Lenin
